pmid,publication_year,publication_date,first_author,all_authors,title,issn,doi,pages,issue,volume,journal,journal_abbreviation,abstract
40419317,2025,,Lauren M Maloney,"Lauren M Maloney, Devin A McKissic, Ingrid M Anderson, Daniel J Scherzer, Kamal Abulebda, Erin Montgomery, Christopher Kennedy, Snimarjot Kaur, Mark Adler, Grace M Arteaga, Marc A Auerbach, Stephen J Gleich, Erin W Hulfish, Brian M Jackson, Jeffrey Luk, Riad Lutfi, Maria J Mandt, Arushi Manga, Anna E McCormick, Ranna A Rozenfeld, Jessica J Wall, Robyn Wing, Rachel Umoren",Perspectives on Simulation-Based Pediatric Critical Care Transport Team Education: Qualitative Analysis of Interviews With Transport Program Leaders in the ImPACTS Transport Simulation Study.,1532-6497,10.1016/j.amj.2025.01.007,179-183,3,44,Air medical journal,Air Med J,"Pediatric critical care transport (PCCT) teams are expected to manage a wide spectrum of pediatric high-acuity conditions. PCCT program leaders may have unique insights into transport team training, including opportunities, experiences, and barriers. The purpose of this study was to understand how PCCT program leaders perceived the role of simulation in PCCT team education. PCCT medical directors or administrators from 12 ImPACTS (Improving Pediatric Acute Care Through Simulation) sites were recruited to participate in a 30-minute interview with trained facilitators. A semistructured 7-question interview guide on the barriers, supports, and opportunities presented by transport simulations was used. Interviews were digitally recorded, and transcripts were organized using Dedoose qualitative software. A grounded theory approach was used to identify themes. A total of 11 interviews were conducted with 5 PCCT medical directors (45%) and 6 administrators/clinical managers (54%) from 11 participating ImPACTS health facilities. Themes on participant experience with simulation, simulation feeling real, value of simulation, planning simulations, and logistical challenges were identified. In general, although PCCT program leaders acknowledge logistical difficulties with planning simulations, they feel that transport simulations, particularly conducted in situ in a transport vehicle, are a helpful educational tool for PCCT teams."
40417267,2025,,Ronald C Petersen,"Ronald C Petersen, Ana Graf, Alexandra S Atkins, Miroslaw Brys, Jennifer Murphy, David S Miller, Larisa Reyderman, Eric Siemers, Janice Smith, Maria C Carrillo, Christopher J Weber",Understanding the impact of amyloid beta targeted therapies on biomarkers and clinical endpoints in Alzheimer's disease.,2352-8737,10.1186/s13195-017-0318-y,e70069,2,11,"Alzheimer's & dementia (New York, N. Y.)",Alzheimers Dement (N Y),"The Alzheimer's disease (AD) scientific field continues to make significant advances in early detection and treatments, which importantly rest on advances in our fundamental understanding of AD pathobiology and its contribution to cognitive decline. Clinical readouts of monoclonal antibodies against various forms of the amyloid beta (Aβ) protein indicate that the impact of these treatments may extend beyond reduction in amyloid plaques. The Alzheimer's Association Research Roundtable meeting held on May 17 and 18, 2022, reviewed our understanding to date of the impact of treatments targeting various species of Aβ; its impact on other related pathophysiology including tau; and ultimately, its effects on neurodegeneration and clinical decline, driven by the latest available data. Participants discussed the current evidence for a causal relationship among amyloid accumulation, tau alteration, and cognitive decline; the effect of anti-amyloid therapies on clinical and biomarker endpoints; and how we can accelerate the pathway to therapeutic approval and what should guide us for the near future. The Alzheimer's Association Research Roundtable convened leaders from industry and academia, as well as patients, clinicians, and government and regulatory agency scientists to discuss the topic ""Current Understanding of AD Pathophysiology & Impact of Amyloid-beta Targeted Treatments on Biomarkers and Clinical Endpoints.""The totality of scientific evidence (clinical trials, animal data, modeling, and observational studies) on the relationship between amyloid beta (Aβ), amyloid, tau, and cognitive impairment is helping our understanding of the downstream effects and overall importance of lowering amyloid plaque load.Based on data from multiple phase 2 and 3 clinical trials of anti-amyloid monoclonal antibodies, there is strong evidence to support that a sufficiently large reduction in amyloid plaque load to near-normal levels is associated with positive changes in tau biomarkers and clinical endpoints.Reduction of Aβ plaque, measured easily by plasma amyloid biomarkers, is reasonably likely to predict benefit in clinical outcome measures."
40407065,2025,,Rebecca L Molinsky,"Rebecca L Molinsky, Pamela L Lutsey, Rob F Walker, Wendy Wang, Melana Yuzefpolskaya, Katherine Giorgio, David M Vock, Richard MacLehose, Paolo C Colombo, Ryan T Demmer",Infection-Related Hospitalization and Incident Heart Failure in MarketScan: A Case-Crossover Study.,2047-9980,10.1161/CIR.0000000000001191,e039123,11,14,Journal of the American Heart Association,J Am Heart Assoc,Heart failure (HF) is a growing public health burden. Systemic inflammation is commonly observed in patients with HF and believed to be related to disease pathogenesis. Infection is a potential acute trigger of chronic inflammation. Our objective was to examine the relationship between infection-related hospitalization (IRH) and HF. We studied beneficiaries with at least 15 months of continuous enrollment in the US-based MarketScan databases during 2013 to 2019. We included n=152 008 patients with an inpatient or outpatient HF  IRH was associated with incident HF after both 1 and 3 months and may represent a modifiable risk factor for HF.
40401597,2025,,Darin T Rosen,"Darin T Rosen, Todd M Kolb, Stephen C Mathai, Karthik Suresh, Rachel Damico, Steven Hsu, Ryan J Tedford, Anna R Hemnes, Jane A Leopold, Evelyn M Horn, Erika S Berman-Rosenzweig, Franz Rischard, Robert P Frantz, Serpil C Erzurum, Gerald J Beck, Nicholas S Hill, John Barnard, Samar Farha, Gabriele Grunig, Christine Jellis, Deborah H Kwon, Reena Mehra, Margaret M Park, W H Wilson Tang, Paul M Hassoun, Catherine E Simpson",Dysregulated Tricarboxylic Acid Cycle Metabolism Is Associated With Right Ventricular Maladaptation in Pulmonary Vascular Disease.,2047-9980,10.1126/scitranslmed.aao4583,e041127,11,14,Journal of the American Heart Association,J Am Heart Assoc,"Right ventricular (RV) maladaptation to elevated pulmonary afterload is the primary determinant of outcomes in pulmonary artery (PA) hypertension; however, the pathobiological mechanisms underlying RV decompensation remain poorly understood. We performed global untargeted metabolomics on plasma from 55 patients who underwent gold-standard RV-PA coupling measurements using multibeat pressure volume loop assessment in a single-center cohort and from 1027 patients with coupling surrogate measurements in a larger multicenter cohort, the PVDOMICS (Pulmonary Vascular Disease Phenomics) study. Age and sex-adjusted linear regression was performed to identify associations between metabolites and coupling metrics. Additionally, we performed a metabolic flux analysis using gene expression data from RV tissue in an independent cohort of 32 patients. Partial least squares-discriminant analysis was used to identify metabolites and reactions characteristic of the decompensated RV. RV-PA coupling was negatively associated with tricarboxylic acid (TCA) cycle intermediate levels. Specifically, plasma α-ketoglutarate and fumarate were significantly associated with all coupling metrics in both cohorts. Metabolic flux analysis indicated that decompensated RVs exhibited aberrant TCA cycle activity, including reduced acetyl coenzyme A entry and increased lactate elimination, suggesting a shift from the TCA cycle toward glycolysis at the RV tissue level. We identify an association between circulating TCA cycle intermediate levels and RV-PA uncoupling in 2 independent cohorts, and dysregulated TCA cycle metabolism in decompensated PA hypertension RVs, suggesting that aberrant TCA cycle metabolism could represent a hallmark of RV maladaptation in PA hypertension. Further study of this pathway is warranted to develop novel biomarkers of RV function or RV-targeted therapies."
40376143,2025,,Russ Paulsen,"Russ Paulsen, Carla DeMuro Romano, Terry Frangiosa, Margaret Mordin, Gabrielle J Dardis, Dana DiBenedetti, Ronald C Petersen, Jeffrey L Cummings",How do we put meaning into meaningful benefit? Perspectives from the lived experience.,2352-8737,10.1002/trc2.70095,e70095,2,11,"Alzheimer's & dementia (New York, N. Y.)",Alzheimers Dement (N Y),"Meaningful benefit is a much-debated concept in Alzheimer's disease (AD). Research to date has primarily focused on change thresholds that are anchored in clinicians' or care partners' impressions; however, these thresholds are not inherently meaningful to people living with AD (PLWAD) and may not take their perspectives into account. By overlaying the lived experience of AD through the eyes of individual PLWAD and their care partners with clinical outcomes, we offer an important framework in which to consider meaningful benefit in terms of symptoms, functioning, and outcomes. The PLWAD and care partner interviews and surveys of the What Matters Most (WMM) research program have identified treatment-related needs, preferences, and priorities of people at risk of or living with AD and their care partners across the AD continuum. A WMM conceptual model of disease-created and refined through interviews with PLWAD and care partners across the AD severity spectrum-includes 50 concepts across six domains (social life/activities, thought processing, communication, daily activities, mood/emotion, and general independence) considered important to all PLWAD and care partners. From the PLWAD and care partner perspectives, an increase in time to the onset, development, or worsening of the symptoms in any of these meaningful concepts was considered a meaningful benefit. No single commonly used clinical outcome assessment captures all concepts of importance, nor the importance of time in AD; considering the lived experience and priorities of individuals affected by AD is crucial to put the ""meaning"" in ""meaningful."""
40376142,2025,,Kathy Y Liu,"Kathy Y Liu, Chineze Ivenso, Rebecca Howard, Penny Rapaport, Suzanne Reeves, Sube Banerjee, Lon S Schneider, Maria I Lapid, Robert Howard",Three approaches to determining clinically meaningful benefit on the Cohen-Mansfield Agitation Inventory in dementia clinical trials for agitation.,2352-8737,10.4088/JCP.22m14447,e70099,2,11,"Alzheimer's & dementia (New York, N. Y.)",Alzheimers Dement (N Y),"There is a need to understand the clinical meaningfulness of symptom score changes in treatment trials of dementia-related agitation. We estimated minimal clinically important differences (MCIDs) for commonly employed agitation scales and contextualized their clinical application. We employed anchor- and distribution-based approaches to determine changes in scores corresponding to minimal symptom improvement. An opinion-based approach assessed expert clinicians' agreement on the meaningfulness of score changes through three clinical vignettes. Minimal symptom improvement for Cohen-Mansfield Agitation Inventory total score ranged from -4 (over <1 month) to -11 (over 1 to 3 months) points. Greater symptom severity correlated with higher MCID estimates. The clinical importance of score changes was influenced by treatment duration, pharmacological side effects, and impacts on caregiver distress/time resources. The clinical meaningfulness of agitation scale MCIDs is influenced by trial-specific and clinical factors. Shorter trial durations and measuring caregiver distress/time resources enhance the clinical interpretation of agitation treatment outcomes. For the CMAI total score, the MCID was -4 points over shorter time scales and -11 points for longer time scales.Worse agitation severity was associated with higher MCID estimates.There was high expert consensus that a noticeable treatment benefit was not worthwhile if it occurred after 12 weeks or had no impact on caregiver/staff distress/time resources."
40371634,2025,,Jamie L Smith,"Jamie L Smith, Jill M Killian, Nathan Shippee, David T Eton, Victor M Montori, Jacob Strand, Shannon M Dunlay",Burden of Treatment in Patients With Heart Failure.,2047-9980,10.1001/jamacardio.2021.0372,e039695,10,14,Journal of the American Heart Association,J Am Heart Assoc,"Heart failure self-care can contribute to a high daily workload and treatment burden. The goal of this cohort study was to assess the characteristics and outcomes associated with burden of treatment (BoT). Surveys comprising validated instruments to measure BoT and other constructs were mailed to patients with heart failure in Southeastern Minnesota. Participants were divided into tertiles by BoT scores. Associations of clinical variables with BoT were examined using multinomial logistic regression. Associations of BoT with mortality and hospitalizations were examined using Cox proportional hazard regression and Andersen-Gill models, respectively. A total of 609 participants (mean age 76.3 years, 60.3% men, 55.2% urban, 64.3% preserved ejection fraction) completed surveys. Higher BoT was associated with worse health status, more depressive symptoms, lower resilience, less social support, lower medication adherence, and worse health literacy. Mean±SD follow-up was 14.4 (4.1) months. Estimated 1-year mortality (8.3% [95% CI, 4.3%-12.1%], 11.0% [95% CI, 6.5%-15.2%], 16.0% [95% CI, 10.8%-21.0%]) and 1-year mean cumulative hospitalizations (0.57 [95% CI, 0.45-0.72], 0.83 [95% CI, 0.66-1.05], 1.15 [95% CI, 0.93-1.42]) increased across patients reporting low, medium, and high BoT, respectively. Adjustment for health status eliminated any significant association of BoT with risks of death and hospitalization (adjusted hazard ratio [HR], 1.10 [95% CI, 0.58-2.07] and 1.09 [95% CI, 0.74-1.61], respectively, highest versus lowest BoT tertile). BoT in heart failure varies by clinical and psychosocial factors. Higher BoT identifies patients at increased risk of adverse health outcomes due to their worse health status. These findings can serve as a foundation for interventions to minimize workload and improve quality of life."
40341275,2025,,Nooshin K Dashti,"Nooshin K Dashti, Amy A Swanson, Gary L Keeney, Mark A Edgar, Sounak Gupta, John Kenneth Schoolmeester",Alterations of G-protein Activating Subunit Genes in Ovarian Hemangiomas: A Molecular Study of 6 Cases Including 3 Anastomosing Hemangiomas With a Cavernous Component.,1538-7151,10.1097/PGP.0000000000001107,,,,International journal of gynecological pathology : official journal of the International Society of Gynecological Pathologists,Int J Gynecol Pathol,
40337671,2025,,Umile Giuseppe Longo,"Umile Giuseppe Longo, Alberto Lalli, Guido Nicodemi, Matteo Giuseppe Pisani, Alessandro De Sire, Pieter D'Hooghe, Ara Nazarian, Jacob F Oeding, Balint Zsidai, Kristian Samuelsson",Artificial intelligence demonstrates potential to enhance orthopaedic imaging across multiple modalities: A systematic review.,2197-1153,10.1016/j.ejro.2020.100303,e70259,2,12,Journal of experimental orthopaedics,J Exp Orthop,"While several artificial intelligence (AI)-assisted medical imaging applications are reported in the recent orthopaedic literature, comparison of the clinical efficacy and utility of these applications is currently lacking. The aim of this systematic review is to evaluate the effectiveness and reliability of AI applications in orthopaedic imaging, focusing on their impact on diagnostic accuracy, image segmentation and operational efficiency across various imaging modalities. Based on the PRISMA guidelines, a comprehensive literature search of PubMed, Cochrane and Scopus databases was performed, using combinations of keywords and MeSH descriptors ('AI', 'ML', 'deep learning', 'orthopaedic surgery' and 'imaging') from inception to March 2024. Included were studies published between September 2018 and February 2024, which evaluated machine learning (ML) model effectiveness in improving orthopaedic imaging. Studies with insufficient data regarding the output variable used to assess the reliability of the ML model, those applying deterministic algorithms, unrelated topics, protocol studies, and other systematic reviews were excluded from the final synthesis. The Joanna Briggs Institute (JBI) Critical Appraisal tool and the Risk Of Bias In Non-randomised Studies-of Interventions (ROBINS-I) tool were applied for the assessment of bias among the included studies. The 53 included studies reported the use of 11.990.643 images from several diagnostic instruments. A total of 39 studies reported details in terms of the Dice Similarity Coefficient (DSC), while both accuracy and sensitivity were documented across 15 studies. Precision was reported by 14, specificity by nine, and the F1 score by four of the included studies. Three studies applied the area under the curve (AUC) method to evaluate ML model performance. Among the studies included in the final synthesis, Convolutional Neural Networks (CNN) emerged as the most frequently applied category of ML models, present in 17 studies (32%). The systematic review highlights the diverse application of AI in orthopaedic imaging, demonstrating the capability of various machine learning models in accurately segmenting and analysing orthopaedic images. The results indicate that AI models achieve high performance metrics across different imaging modalities. However, the current body of literature lacks comprehensive statistical analysis and randomized controlled trials, underscoring the need for further research to validate these findings in clinical settings. Systematic Review; Level of evidence IV."
40321275,2025,,Hugh D Simpson,"Hugh D Simpson, Vaclav Kremen, Vladimir Sladky, Benjamin H Brinkmann, Nicholas M Gregg, Brian N Lundstrom, Kai J Miller, Jamie J Van Gompel, Greg A Worrell",Thalamocortical seizure onset patterns in drug resistant focal epilepsy.,,10.1016/j.clinph.2023.07.007,,,,medRxiv : the preprint server for health sciences,medRxiv,"Drug-resistant epilepsy affects tens of millions of people worldwide and is associated with considerable morbidity and mortality. Thalamic deep brain stimulation and cortical responsive neurostimulation are proven treatments for focal epilepsy. Both have been used to target a range of thalamic nuclei, yet the roles of these thalamic nuclei in focal seizure generation remain incompletely understood. Thirteen patients with drug-resistant focal epilepsy undergoing intracranial EEG were consented to undergo investigation of thalamocortical networks. Sampled regions included cortical, mesial temporal, and thalamic brain regions. Visual and spectral analyses were performed to identify seizure onset patterns and correlate thalamic and cortical seizure activity. Thalamic ictal discharges were observed in all patients, including synchronous thalamocortical seizure onset discharges with distinct onset patterns. These onset patterns ranged from hypersynchronous spiking, low-voltage fast activity, ictal baseline shifts, to broadband suppression. Multiple thalamic nuclei were involved in ictal organization and propagation, with the specific nuclei depending on the cortical seizure network. The thalamus plays a crucial role in focal onset seizure generation and propagation, with distinct seizure onset patterns and nuclei involved. These findings support exploring a broader range of thalamic nuclei in epilepsy neurostimulation and have implications for seizure detection settings in intracranial sensing devices."
40279949,2025,,J J Halford,"J J Halford, B A Brinkmann, S Rampp, J Rémi, S Poznikoff, K B Nilsen, J A Ehrenberg, S Winkler",DICOM encoding of annotation and montage data for waveform recordings.,1872-8952,10.1016/j.clinph.2025.04.002,189-190,,174,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,Clin Neurophysiol,
40276496,2025,,Philipp W Winkler,"Philipp W Winkler, Bálint Zsidai, Eric Hamrin Senorski, James A Pruneski, Michael T Hirschmann, Christophe Ley, Thomas Tischer, Elmar Herbst, Ayoosh Pareek, Volker Musahl, Jacob F Oeding, Felix C Oettl, Umile Giuseppe Longo, Kristian Samuelsson, Robert Feldt","A practical guide to the implementation of AI in orthopaedic research-Part 7: Risks, limitations, safety and verification of medical AI systems.",2197-1153,10.1177/2325967120953404,e70247,2,12,Journal of experimental orthopaedics,J Exp Orthop,"Artificial intelligence (AI) has been influencing healthcare and medical research for several years and will likely become indispensable in the near future. AI is intended to support healthcare professionals to make the healthcare system more efficient and ultimately improve patient outcomes. Despite the numerous benefits of AI systems, significant concerns remain. Errors in AI systems can pose serious risks to human health, underscoring the critical need for safety, as well as adherence to ethical and moral standards, before these technologies can be integrated into clinical practice. To address these challenges, the development, certification, and deployment of medical AI systems must adhere to strict and transparent regulations. The European Commission has already established a regulatory framework for AI systems by enacting the European Union Artificial Intelligence Act. This review article, part of an AI learning series, discusses key considerations for medical AI systems such as reliability, accuracy, trustworthiness, lawfulness and legal compliance, ethical and moral alignment, sustainability, and regulatory oversight. Level V."
40276473,2025,,Nicholas A Kolaitis,"Nicholas A Kolaitis, Hayley Barnes, Deborah J Levine, Howard Castillo, Selim M Arcasoy, Matthew Bacchetta, Luke Benvenuto, Erika Berman-Rosenzweig, Marisa Cevasco, Caitlin T Demarest, Celine Dewachter, Michiel E Erasmus, Allan R Glanville, John Granton, Shaf Keshavjee, Vikramjit Khangoora, Sheila Krishnan, Olaf Mercier, Andrea N Miltiades, David Montani, Edward Murphy, Ivan Robbins, Franck F Rahaghi, Sahar A Saddoughi, Laurent Savale, Marc A Simon, Jean-Luc Vachiery, Corey E Ventetuolo, Helen M Whitford, Reda E Girgis",Approach to Lung Transplantation in Pulmonary Arterial Hypertension: A Delphi Consensus on Behalf of the Transplant Task Force of the Pulmonary Vascular Research Institute.,2045-8932,10.1002/pul2.70088,e70088,2,15,Pulmonary circulation,Pulm Circ,"Lung transplantation is indicated for selected patients with advanced pulmonary arterial hypertension (PAH). We used a modified Delphi process to develop recommendations on care of patients with PAH undergoing lung transplantation. This Delphi panel was recruited from the Pulmonary Vascular Research Institute's Innovative Drug Discovery Initiative - Lung Transplantation Workstream, consisting of clinical and research experts in PAH and lung transplantation. In this process, 29 panelists were given open-ended questions, querying topics related to lung transplantation in PAH. A steering group converted the responses into discrete statements. Panelists then rated agreement using a Likert scale in two further survey rounds: -5 (strongly disagree) to 5 (strongly agree). Consensus was defined as mean ≥ 2.5 or ≤ -2.5, with a standard deviation not crossing zero. Consensus was reached on 141 of 223 statements. Notable areas of consensus were for early discussions about transplantation, and agreement with previously published referral and listing criteria. There was agreement that lung transplantation could be offered in sick candidates, including those with concurrent renal or hepatic insufficiency. Bilateral lung transplantation was considered the procedure of choice for most patients, with rare indications for heart-lung transplantation. Consensus on bridging strategies included use of veno-arterial extracorporeal membrane oxygenation and preemptive awake cannulation in those with severe right ventricular dysfunction. Consensus was also achieved on intraoperative use of invasive hemodynamic monitoring, and prolonged postoperative circulatory support guided by hemodynamic response and echocardiography. Patients with PAH undergoing transplantation require specialized management, which differs somewhat from other candidates."
40248215,2025,,Andrew M Hughes,"Andrew M Hughes, Alisha Lindsey, Jeffrey Annis, Kelly Burke, Hiral Master, Luke G Silverman-Lloyd, Jonah D Garry, Michael J Blaha, Erika S Berman Rosenzweig, Robert P Frantz, Paul M Hassoun, Evelyn M Horn, Jane A Leopold, Franz P Rischard, Brett Larive, Nicholas S Hill, Serpil C Erzurum, Gerald J Beck, Anna R Hemnes, Evan L Brittain","Physical Activity, Sleep, and Quality of Life in Pulmonary Arterial Hypertension: Novel Insights From Wearable Devices.",2045-8932,10.1002/pul2.70069,e70069,2,15,Pulmonary circulation,Pulm Circ,"Reduced functional capacity and poor sleep quality are common in pulmonary arterial hypertension (PAH). Wearable devices are an emerging, user-friendly tool to capture activity and sleep information. We aimed to determine whether Fitbit-derived activity and sleep trends provide clinically meaningful information in patients with PAH. Our prospective observational study recruited patients with PAH from across the United States using remote enrollment strategies and in-person efforts. Participants wore a Fitbit device for 12 weeks at baseline and a subgroup with 1-year follow-up. A matched control cohort was generated from the "
40241914,2025,,Robert P Frantz,Robert P Frantz,"Editorial on ""Developing Benchmarks in the Diagnosis and Treatment of Pulmonary Arterial Hypertension in a Tertiary, Academic Medical Center"".",2045-8932,10.1183/13993002.01324-2024,e70081,2,15,Pulmonary circulation,Pulm Circ,
40240957,2025,,Ishmam Ibtida,"Ishmam Ibtida, Xiaoyue Ma, Mohammed Al-Sadawi, Ioanna Kosmidou, Joerg Herrmann, Jennifer E Liu, Peter M Okin, Anthony F Yu",Independent and Incremental Value of ECG Markers for Prediction of Cancer Therapy-Related Cardiac Dysfunction.,2047-9980,10.1001/jamaoncol.2016.1726,e039203,10,14,Journal of the American Heart Association,J Am Heart Assoc,"Strategies to estimate risk of cancer therapy-related cardiac dysfunction (CTRCD) before initiating cardiotoxic cancer treatment are needed. We hypothesized that baseline ECG markers could identify patients at risk for CTRCD. In this retrospective cohort study, 1278 female patients with stage I-III HER2 (human epidermal growth factor receptor 2)-positive breast cancer meeting the following inclusion criteria were included: baseline ECG with QRS <120 milliseconds, baseline echocardiogram, and ≥1 follow-up echocardiogram. Quantitative measurements of ECG waveform parameters were performed using MUSE (GE Healthcare). The primary outcome of interest was CTRCD at 1 year, defined by left ventricular ejection fraction decline (≥10% to <53% or ≥16% from baseline), or clinical heart failure (New York Heart Association class III/IV). Mean age was 51.7±11.1 years, 990 (77%) received anthracyclines, and all received HER2-targeted therapy. CTRCD occurred in 160 (13%) patients. In a multivariable Cox proportional hazards model adjusting for our previously published CTRCD risk score (composed of patient and treatment-specific factors), 4 ECG markers remained independently associated with CTRCD risk: QRS axis, R-wave duration (lead II), ST segment deviation (lead II), and Sokolow-Lyon voltage (all  Baseline ECG variables are predictive of subsequent CTRCD and provide incremental value to established clinical risk factors for CTRCD risk classification."
40222618,2025,,Christian Toso,"Christian Toso, Julie Heimbach, Constantino Fondevila","Reply to: ""On the need for an adult-to-adult liver graft split policy- an appraisal"".",1600-0641,10.1016/j.jhep.2025.04.007,e112,2,83,Journal of hepatology,J Hepatol,
40207523,2025,,Sara ElZalabany,"Sara ElZalabany, Amr Moustafa, Ali Ali, Ahmed T Abdelhalim, Ahmed E Ali, Malini Madhavan, Abhishek Deshmukh, Alexander C Egbe",Relationship Between Atrial Dysfunction and Atrial Arrhythmias in Adults With Fontan Palliation: Role of Atrial Strain Imaging.,2047-9980,10.1093/ehjci/jead203,e040608,8,14,Journal of the American Heart Association,J Am Heart Assoc,"Atrial dysfunction is a risk factor for atrial arrhythmia and can be detected by atrial strain imaging in patients with biventricular circulation. However, the role of atrial strain imaging for risk stratification of atrial arrhythmia in patients with Fontan palliation has not been studied, despite the high prevalence and prognostic implications of atrial arrhythmia in this population. We hypothesized that pulmonary venous atrial strain was associated with new-onset and recurrent atrial arrhythmia in Fontan physiology. This is a retrospective study of adults with Fontan palliation and no prior history of atrial arrhythmia who underwent atrial strain imaging by speckle tracking echocardiography (2003-2023). New-onset and recurrent atrial arrhythmias were ascertained from baseline encounter to last follow-up. Of 404 patients, atrial reservoir strain assessment was feasible in 329 patients (81%), with modest intra- and interobserver agreement. The median atrial reservoir strain was 18% (interquartile range, 13%-24%), and atrial dysfunction (atrial reservoir strain <28%) was present in 294 (89%). Atrial reservoir strain <15% was associated with new-onset atrial arrhythmia (adjusted hazard ratio [HR], 1.59 [95% CI, 1.09-2.34];  Atrial dysfunction was common and was associated with new-onset and recurrent atrial arrhythmias. The higher prevalence of atrial arrhythmias in patients with reduced atrial strain and the apparent protective effect of rhythm control therapy suggest that rhythm control therapy may be the preferred treatment in patients with reduced atrial strain."
40207501,2025,,Martha Grogan,"Martha Grogan, Francisco Lopez-Jimenez, Spencer Guthrie, Nisith Kumar, Reuben Langevin, Isabelle Lousada, Ronald Witteles, Ajay Royyuru, Michael Rosenzweig, Sarah Cairns-Smith, David Ouyang",Value of Artificial Intelligence for Enhancing Suspicion of Cardiac Amyloidosis Using Electrocardiography and Echocardiography: A Narrative Review.,2047-9980,10.1002/ejhf.2140,e036533,8,14,Journal of the American Heart Association,J Am Heart Assoc,"Nonspecific symptoms and other diagnostic challenges lead to underdiagnosis of cardiac amyloidosis (CA). Artificial intelligence (AI) could help address these challenges, but a summary of the performance of these tools is lacking. This narrative review of published literature describes the performance of AI tools that use data from ECGs and echocardiography to improve identification of CA and challenges that hinder adoption of these tools. Thirteen studies met inclusion criteria with sample sizes ranging from 50 to 2451 patients. Four studies used ECG data, 8 used echocardiography data, and 1 used both. The CA gold standard was typically defined as a CA diagnosis in an institutional or other database but the requirements for these diagnoses were heterogenous across studies, and many did not distinguish among CA subtypes. AI model development varied considerably, and only 4 studies included external validation. The ability of models to predict CA ranged from 0.71 to 1.00, sensitivity ranged from 16% to 100%, and specificity from 75% to 100%. Only 1 study reported model performance across strata of sex, age, race, and CA type. Persistent challenges to AI adoption include usability, cost, value added, electronic health record/information technology interoperability, patient-related factors, regulation, and privacy and liability. Published studies on AI for improved identification of CA show favorable performance measures but numerous methodologic and other challenges must be addressed before these tools are more widely adopted."
40197095,2025,,John D Port,John D Port,The Importance of Imaging Metabolism: A Glimpse into the Future.,1527-1315,10.1148/radiol.250575,e250575,1,315,Radiology,Radiology,
40182503,2025,,Jayapal Reddy Mallareddy,"Jayapal Reddy Mallareddy, Lin Yang, Wan-Hsin Lin, Ryan Feathers, Jennifer Ayers-Ringler, Ezequiel Tolosa, Amritha G Kizhake, Smitha Kizhake, Sydney P Kubica, Lidia Boghean, Sophie Alvarez, Michael J Naldrett, Sarbjit Singh, Sandeep Rana, Muhammad Zahid, Janet Schaefer-Klein, Anja Roden, Farhad Kosari, Panos Z Anastasiadis, Mitesh Borad, Amarnath Natarajan, Aaron S Mansfield",Fluorescence based live cell imaging identifies exon 14 skipped hepatocyte growth factor receptor (MET) degraders.,2046-2069,10.1039/d5ra01441g,10419-10425,13,15,RSC advances,RSC Adv,"Despite ongoing efforts to employ structure-based methods to discover targeted protein degraders (TPD), the prevailing strategy continues to be the synthesis of a focused set of heterobifunctional compounds and screening them for target protein degradation. Here we used a fluorescence based live cell imaging screen to identify degraders that target exon 14 skipped hepatocyte growth factor receptor (MET). MET is a known oncogenic driver. MET exon 14 skipping mutations (METex14Δ) are found in lung cancers and result in the loss of a degron that is required for E3-ligase recognition and subsequent ubiquitination, prolonging the half-life and oncogenicity of MET. Since proteolysis targeting chimeras (PROTACs) are heterobifunctional molecules that promote target degradation by the proteosome, we sought to restore degradation of MET lost with METex14Δ using a MET-targeting PROTAC. We generated a library of sixty PROTACs of which 37 used the MET inhibitor capmatinib as the protein of interest targeting ligand. We screened this PROTAC library for targeted degradation of METex14Δ-GFP using live cell imaging. We benchmarked the MET-targeting PROTACs to that of a previously reported MET-targeting PROTAC, SJF8240. Curve fitting live cell imaging data affords determination of time required to degrade 50% of the target protein (DT"
40171318,2025,,D Bradley Welling,"D Bradley Welling, Brian A Neff, Fred F Telischi, Neil Patel, Konstantina M Stankovic","Why Consider Aspirin for the Treatment of Vestibular Schwannoma? A Brief Review and Randomized, Double-Blind, Placebo-Controlled Study Proposal.",2378-8038,10.1001/jama.2022.4983,e70121,2,10,Laryngoscope investigative otolaryngology,Laryngoscope Investig Otolaryngol,"The primary objective of this study is to review the evidence for aspirin use to prevent the growth of vestibular schwannomas (VS) and to propose a prospective trial to determine the progression-free survival of VS patients after up to 42 months of treatment with aspirin. Secondary study objectives are to determine the effect of aspirin on VS growth, hearing function, serum biomarker levels, and the quality of life, as well as to determine the tolerability of aspirin treatment and whether serum biomarker and salicylate levels predict the response to aspirin. Literature review. Six academic and private medical centers. Review of recent English literature regarding prophylactic aspirin use for VS. The retrospective reviews on the utility of aspirin to prevent VS growth are inconclusive. Eighty-four patients have been enrolled in a prospective double-blinded, placebo-controlled trial thus far to determine the effect of aspirin on VS. Completion of a robust study design is necessary. The current aspirin dose has been well tolerated, with minimal adverse events to date. Review of retrospective studies: Level 4; Proposed randomized, placebo-controlled, double-blinded clinical trial: Level 2."
